time_s,bandwidth_Mbps
1270.267,2.547405
1271.268,2.398881
1272.269,1.926222
1273.277,2.033550
1274.278,1.447704
1275.279,1.732531
1276.296,1.742897
1277.297,2.233937
1278.416,3.192456
1279.417,2.238367
1280.436,2.890869
1281.437,2.398881
1282.438,3.009764
1283.454,2.852371
1284.457,2.802234
1285.517,3.385220
1286.527,2.299433
1287.536,1.983425
1288.537,2.549397
1289.539,1.365312
1290.557,1.190965
1291.577,0.416253
1292.587,2.908196
1293.588,2.945534
1294.589,2.564250
1295.598,2.464480
1296.599,2.175937
1297.607,2.919129
1298.608,3.094198
1299.718,3.044207
1300.798,3.086820
1301.856,3.098994
1302.866,2.978334
1303.867,3.475798
1304.937,3.794523
1305.939,2.555784
1306.941,2.618014
1307.946,2.453546
1308.947,2.344998
1309.957,1.760224
1310.958,1.532325
1311.968,2.323429
1312.976,2.562877
1313.977,2.466482
1314.986,1.635592
1316.026,1.516166
1317.036,1.041046
1318.046,1.013020
1319.066,1.831224
1320.076,1.358954
1321.086,1.647018
1322.096,1.532325
1323.106,1.684518
1324.126,1.377820
1325.146,1.105129
1326.166,0.965328
1327.175,0.994909
1328.176,1.481079
1329.184,1.661870
1330.326,2.088216
1331.327,0.938951
1332.376,1.229043
1333.377,1.009554
1334.396,1.007577
1335.417,0.536500
1336.425,0.664572
1337.446,0.622306
1338.466,0.671810
1339.476,0.520626
1340.485,0.469966
1341.496,0.404152
1342.525,0.220985
1343.565,0.907445
1344.566,1.214795
1345.575,0.829806
1346.596,0.472557
1347.615,0.793199
1348.636,0.304110
1351.407,1.089342
1352.456,1.256935
1353.466,0.977335
1354.485,0.418037
1355.506,0.301918
1356.536,0.444261
1357.546,0.808303
1358.575,0.029453
1361.176,1.900737
1362.186,0.203596
1365.895,1.399433
1366.896,0.411347
1367.907,0.497515
1369.016,0.655136
1370.035,0.639303
1371.045,1.419469
1372.055,0.922917
1373.056,0.984875
1374.345,0.379248
1375.355,0.294646
1376.395,0.896511
1377.396,0.412577
1378.415,0.994909
1379.416,1.811346
1380.425,1.583368
1381.437,1.672000
1382.445,1.608174
1383.455,1.635446
1384.495,1.931294
1385.498,1.430500
1386.687,0.892291
1387.705,0.303398
1388.715,0.444261
1389.725,1.168459
1390.806,2.492739
1391.807,2.599365
1392.815,1.522715
1393.817,2.866286
1394.825,2.223952
1395.826,1.468741
1396.835,2.242978
1397.845,1.882125
1398.865,2.047937
1399.875,2.213019
1400.876,2.694406
1401.885,2.046978
1402.887,2.508000
1403.895,2.191153
1404.896,2.520864
1405.905,2.803405
1406.906,3.019798
1407.915,3.503121
1408.916,2.847137
1409.917,3.215033
1410.926,2.958751
1412.015,2.828838
1413.017,2.453546
1414.018,2.027960
1415.024,1.787881
1416.034,1.261434
1417.044,1.497830
1418.045,0.108773
1419.250,1.839527
1420.264,0.126277
1421.304,0.546653
1422.305,0.988075
1423.324,0.343929
1424.565,0.261398
1425.964,0.368412
1426.974,0.295193
1427.975,0.564012
1428.984,0.725523
1429.995,0.617990
1431.004,0.533854
1432.029,0.505441
1433.034,0.682646
1434.044,0.896511
1435.045,1.266071
1436.065,1.066392
1437.075,0.365158
1438.094,0.473953
1439.110,0.817530
1440.114,0.546281
1441.124,0.633035
1442.144,0.632415
1443.165,0.660974
1444.175,0.650783
1445.184,0.358167
1446.284,0.816364
1447.295,1.410664
1448.304,1.145266
1449.435,1.247334
1450.444,1.125792
1451.455,0.596551
1452.464,0.257536
